URL,Version,Status,OIDs,Name,Title,Description,Used
http://terminology.hl7.org/CodeSystem/adverse-event-category,1.0.1,active,"2.16.840.1.113883.4.642.1.1251",AdverseEventCategory,AdverseEventCategory,"Overall categorization of the event, e.g. product-related or situational.","ValueSet/adverse-event-category"
http://terminology.hl7.org/CodeSystem/adverse-event-causality-method,1.0.1,active,"2.16.840.1.113883.4.642.1.1255",AdverseEventCausalityMethod,AdverseEventCausalityMethod,"TODO.","ValueSet/adverse-event-causality-method"
http://terminology.hl7.org/CodeSystem/allergyintolerance-clinical,1.0.1,active,"2.16.840.1.113883.4.642.1.1373",AllergyIntoleranceClinicalStatusCodes,AllergyIntolerance Clinical Status Codes,"Preferred value set for AllergyIntolerance Clinical Status.","ValueSet/allergyintolerance-clinical"
http://terminology.hl7.org/CodeSystem/allergyintolerance-verification,1.0.1,active,"2.16.840.1.113883.4.642.1.1371",AllergyIntoleranceVerificationStatus,AllergyIntolerance Verification Status,"The verification status to support or decline the clinical status of the allergy or intolerance.","ValueSet/allergyintolerance-verification"
http://terminology.hl7.org/CodeSystem/dose-rate-type,1.0.0,draft,"2.16.840.1.113883.4.642.1.1069",DoseAndRateType,DoseAndRateType,"The kind of dose or rate specified.","ValueSet/dose-rate-type"
http://terminology.hl7.org/CodeSystem/extra-security-role-type,1.0.1,active,,SecurityRoleType,Security Role Type,"This CodeSystem contains Additional FHIR-defined Security Role types not defined elsewhere","ValueSet/participation-role-type"
http://terminology.hl7.org/CodeSystem/medicationrequest-admin-location,1.0.1,active,"2.16.840.1.113883.4.642.1.0",MedicationRequest_Administration_Location_Codes,Medication request  administration  location  codes,"MedicationRequest Administration Location Codes","ValueSet/medicationrequest-admin-location"
http://terminology.hl7.org/CodeSystem/v2-0131,2.0.0,active,"2.16.840.1.113883.18.58",ContactRole2,contactRole2,"Code system of concepts which specify a relationship role that the next of kin/associated parties plays with regard to the patient. Also used in referrals, for example, it may be necessary to identify the contact representative at the clinic that sent a referral. Used in HL7 Version 2 messaging in the NK1 and CTD segments after 2.5, when it replace 2.16.840.1.113883.18.57.","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0360,2.0.0,active,"2.16.840.1.113883.18.220",DegreeLicenseCertificate,degreeLicenseCertificate,"Code system of concepts specifying an educational degree (e.g., MD).  Used in the CNN datatype (names and identifiers of clinicians) in Version 2 messaging.  Used in HL7 Version 2.x messaging in the CNN segment; note that in releases of HL7 prior to 2.3.1, was also used in person names (XPN), but this use was deprecated, then withdrawn in 2.7.","ValueSet/v2-0360"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,3.0.0,active,"2.16.840.1.113883.5.2",MaritalStatus,MaritalStatus,"\* \* \* No description supplied \* \* \*    *Open Issue:* The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.    *Open Issue:* fixing and completion of the hierarchy and proper good definitions of all the concepts is badly needed.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-NullFlavor,3.0.0,active,"2.16.840.1.113883.5.1008",NullFlavor,NullFlavor,"A collection of codes specifying why a valid value is not present.","ValueSet/marital-status"
http://terminology.hl7.org/CodeSystem/v3-ParticipationType,5.0.0,active,"2.16.840.1.113883.5.90",ParticipationType,ParticipationType,"A code specifying the meaning and purpose of every Participation instance. Each of its values implies specific constraints on the Roles undertaking the participation.","ValueSet/adverse-event-participant-function"
https://hl7.pt/fhir/ADR/CodeSystem/adr-causalidade-cs,1.0.0-ballot,active,,CausalidadeCS,Causalidade CodeSystem,"Causalidade CodeSystem","ValueSet/adr-causalidade-vs"
https://hl7.pt/fhir/ADR/CodeSystem/adr-evolucao-cs,1.0.0-ballot,active,,EvolucaoCS,Evolução de uma RAM CodeSystem,"Evolução de uma RAM CodeSystem","ValueSet/adr-evolucao-vs"
https://hl7.pt/fhir/ADR/CodeSystem/adr-gravidade-cs,1.0.0-ballot,active,,GravidadeCS,Gravidade RAM CodeSystem,"Causalidade CodeSystem","ValueSet/adr-gravidade-vs"
urn:ietf:bcp:47,2.0.1,active,"2.16.840.1.113883.6.121",Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/all-languages"
